fund-delegate0: finalized, 150 CU, complete account state verified
fund-delegate1: finalized, 150 CU, complete account state verified
init-unsigned-authority: finalized, 173 CU, complete account state verified
init-unsigned-book: finalized, 416 CU, complete account state verified
init-readonly-book: finalized, 172 CU, complete account state verified
init-wrong-system: finalized, 175 CU, complete account state verified
init-payer-book-alias: finalized, 485 CU, complete account state verified
init-truncated: finalized, 145 CU, complete account state verified
init-trailing: finalized, 146 CU, complete account state verified
initialize: finalized, 1703 CU, complete account state verified
consume-0: finalized, 889 CU, complete account state verified
limit-0: finalized, 831 CU, complete account state verified
exhaust-0: finalized, 889 CU, complete account state verified
consume-1: finalized, 889 CU, complete account state verified
limit-1: finalized, 831 CU, complete account state verified
exhaust-1: finalized, 889 CU, complete account state verified
consume-2: finalized, 889 CU, complete account state verified
limit-2: finalized, 831 CU, complete account state verified
exhaust-2: finalized, 889 CU, complete account state verified
consume-3: finalized, 889 CU, complete account state verified
limit-3: finalized, 831 CU, complete account state verified
exhaust-3: finalized, 889 CU, complete account state verified
wrong-delegate: finalized, 437 CU, complete account state verified
neighbor-delegate-at-zero: finalized, 437 CU, complete account state verified
neighbor-delegate-at-one: finalized, 437 CU, complete account state verified
stale-revision: finalized, 454 CU, complete account state verified
limit-exceeded: finalized, 487 CU, complete account state verified
zero-amount: finalized, 397 CU, complete account state verified
out-of-bounds: finalized, 396 CU, complete account state verified
max-selector: finalized, 396 CU, complete account state verified
wrong-admin: finalized, 168 CU, complete account state verified
stale-admin-revision: finalized, 469 CU, complete account state verified
limit-below-spent: finalized, 472 CU, complete account state verified
consume-unsigned-delegate: finalized, 91 CU, complete account state verified
consume-readonly-book: finalized, 95 CU, complete account state verified
consume-delegate-book-alias: finalized, 439 CU, complete account state verified
consume-truncated: finalized, 80 CU, complete account state verified
consume-trailing: finalized, 81 CU, complete account state verified
set-limit-extra-account: finalized, 900 CU, complete account state verified
reinitialize: finalized, 384 CU, complete account state verified
allowance lifecycle and refusal cases passed
